treatment,repetition,humidity,salinity,length.l1,nr.leaves,day
Tc,1,51.6,1.36,28,4,1
Tc,2,51.3,1.42,23.2,4,1
Tc,3,51.7,1.36,28.2,3,1
Tc,4,51,1.44,33.7,4,1
Tc,5,46.1,1.33,28.4,3,1
Tc,6,52.2,1.52,23.9,3,1
Tt1,1,56.6,1.52,30,3,1
Tt1,2,56.4,1.79,31.2,3,1
Tt1,3,46.9,1.63,32.4,3,1
Tt1,4,58.6,1.76,30.7,4,1
Tt1,5,55.7,1.5,31.7,4,1
Tt1,6,62.1,1.56,28.5,3,1
Tt2,1,47.4,1.15,27.1,3,1
Tt2,2,50.9,1.19,26.4,3,1
Tt2,3,42.7,1.16,18.8,3,1
Tt2,4,45.9,1.4,17.8,3,1
Tt2,5,41.3,1.12,17,3,1
Tt2,6,41.5,1.21,17.2,3,1
Tt3,1,47.9,1.26,25.4,3,1
Tt3,2,53.4,1.47,22.8,3,1
Tt3,3,53.2,1.39,19.3,3,1
Tt3,4,43.6,1.42,24.3,3,1
Tt3,5,52.9,1.22,27.6,3,1
Tt3,6,57.5,1.32,24.5,3,1
Lc,1,46.4,1.32,15.7,2,1
Lc,2,57.8,1.34,12.7,2,1
Lc,3,55.2,1.38,9.2,2,1
Lc,4,57.9,1.29,14.4,2,1
Lc,5,49.6,1.3,11.5,3,1
Lc,6,46.6,1.29,17,3,1
Lt1,1,56.8,1.35,9,2,1
Lt1,2,61.6,1.6,11,2,1
Lt1,3,52.6,1.37,12.6,2,1
Lt1,4,55.1,1.41,7.3,2,1
Lt1,5,54.3,1.18,11.2,2,1
Lt1,6,52.8,1.28,14.1,3,1
Lt2,1,54.8,1.26,9.6,2,1
Lt2,2,49.7,1.27,12.6,2,1
Lt2,3,55.4,1.18,12.9,2,1
Lt2,4,53.8,1.23,14.4,3,1
Lt2,5,54.1,1.34,13.2,2,1
Lt2,6,56,1.2,15.5,3,1
Lt3,1,51.5,1.44,13.2,3,1
Lt3,2,57.5,1.52,11.7,3,1
Lt3,3,54.4,1.57,15.5,3,1
Lt3,4,54.7,1.56,19.1,3,1
Lt3,5,54.1,1.32,14.8,2,1
Lt3,6,57.1,1.54,7.2,3,1
Tc,1,46.6,1.43,,,2
Tc,2,49.8,1.43,,,2
Tc,3,43.8,1.35,,,2
Tc,4,44.2,1.36,,,2
Tc,5,45.4,1.32,,,2
Tc,6,50.1,1.41,,,2
Tt1,1,30.7,1.43,,,2
Tt1,2,33.9,1.54,,,2
Tt1,3,28.1,1.62,,,2
Tt1,4,34.1,1.57,,,2
Tt1,5,33.1,1.59,,,2
Tt1,6,34.1,1.56,,,2
Tt2,1,40.4,4.4,,,2
Tt2,2,53.1,4.04,,,2
Tt2,3,31.2,2.95,,,2
Tt2,4,37.1,3.32,,,2
Tt2,5,40.5,5.07,,,2
Tt2,6,47.7,3.57,,,2
Tt3,1,36.7,14.98,,,2
Tt3,2,32.3,19.32,,,2
Tt3,3,38.1,14.77,,,2
Tt3,4,38.8,7.34,,,2
Tt3,5,46.3,10.06,,,2
Tt3,6,34.8,13.28,,,2
Lc,1,48.9,1.31,,,2
Lc,2,51.9,1.5,,,2
Lc,3,49,1.29,,,2
Lc,4,45.8,1.2,,,2
Lc,5,41.8,1.41,,,2
Lc,6,34.2,1.24,,,2
Lt1,1,36.2,1.36,,,2
Lt1,2,37,1.66,,,2
Lt1,3,25.2,1.38,,,2
Lt1,4,27.1,1.31,,,2
Lt1,5,35,1.24,,,2
Lt1,6,31.5,1.26,,,2
Lt2,1,53.3,3.44,,,2
Lt2,2,45.4,2.9,,,2
Lt2,3,45.8,2.82,,,2
Lt2,4,52.5,3.3,,,2
Lt2,5,49.9,3.52,,,2
Lt2,6,55.9,3.38,,,2
Lt3,1,46.3,7.05,,,2
Lt3,2,37.1,12.21,,,2
Lt3,3,34.8,12.71,,,2
Lt3,4,43.8,7.84,,,2
Lt3,5,35.9,10.88,,,2
Lt3,6,48.1,8.76,,,2
Tc,1,59.6,1.59,35.1,6,3
Tc,2,61.2,1.56,33.4,5,3
Tc,3,55.9,1.56,34.4,5,3
Tc,4,61.7,1.61,40,6,3
Tc,5,58.2,1.53,33.4,5,3
Tc,6,58,1.79,36,5,3
Tt1,1,16.3,1.89,38.6,5,3
Tt1,2,18.4,1.88,36,5,3
Tt1,3,15.6,1.92,36.5,5,3
Tt1,4,18.7,1.9,35,6,3
Tt1,5,18.1,1.96,35.6,6,3
Tt1,6,20.2,1.73,32.4,5,3
Tt2,1,56.1,3.95,33,5,3
Tt2,2,63.5,4.77,30,4,3
Tt2,3,41.1,4.04,27.5,3,3
Tt2,4,43.4,4.03,27.8,4,3
Tt2,5,45.6,4.15,25.4,4,3
Tt2,6,52,5.03,27.5,4,3
Tt3,1,51.9,11.34,25.5,3,3
Tt3,2,29,22.52,34.4,4,3
Tt3,3,24,38.35,29.6,4,3
Tt3,4,33.8,19.94,28,3,3
Tt3,5,42.6,16.72,29.6,4,3
Tt3,6,30.6,21.9,28.5,4,3
Lc,1,55.4,1.46,21.4,4,3
Lc,2,50.2,1.27,22.9,4,3
Lc,3,56.5,1.54,15.8,4,3
Lc,4,46.2,1.22,8.4,3,3
Lc,5,57.6,1.47,19.5,6,3
Lc,6,41.2,1.26,23.9,4,3
Lt1,1,26.6,1.59,10.1,3,3
Lt1,2,19.4,1.57,24.1,6,3
Lt1,3,21,1.81,16.7,3,3
Lt1,4,15.2,1.34,19.4,3,3
Lt1,5,25.4,1.57,13.6,3,3
Lt1,6,18.8,1.3,15.1,3,3
Lt2,1,65.5,4.23,15.8,4,3
Lt2,2,48.9,3.64,18.1,3,3
Lt2,3,55.6,4.24,14.1,4,3
Lt2,4,51.8,3.38,15.5,4,3
Lt2,5,51.3,3.72,20.8,4,3
Lt2,6,39.2,2.98,16.7,4,3
Lt3,1,39.8,21.71,22.2,7,3
Lt3,2,29.6,25.28,19.3,4,3
Lt3,3,22.2,37.46,27,7,3
Lt3,4,46.4,10.33,24.6,6,3
Lt3,5,28,24.82,11.5,3,3
Lt3,6,43.7,13.04,16.7,5,3
Tc,1,21.9,1.58,46,7,4
Tc,2,27.2,1.52,41,7,4
Tc,3,28.7,1.41,48,7,4
Tc,4,33.6,1.43,51.5,8,4
Tc,5,25.8,1.4,47,7,4
Tc,6,29.9,1.49,44,8,4
Tt1,1,,,42,7,4
Tt1,2,,,39,5,4
Tt1,3,,,47,5,4
Tt1,4,,,38.5,6,4
Tt1,5,,,40,5,4
Tt1,6,,,40.5,5,4
Tt2,1,44.9,4.07,27,5,4
Tt2,2,41.3,4.22,26,4,4
Tt2,3,22.8,3.24,23.5,3,4
Tt2,4,24.3,3.16,32,4,4
Tt2,5,32.6,4.33,30.5,4,4
Tt2,6,24.3,3.76,40,4,4
Tt3,1,38.3,11.85,27,3,4
Tt3,2,,,36,5,4
Tt3,3,,,33,5,4
Tt3,4,,,26,4,4
Tt3,5,,,31.5,5,4
Tt3,6,,,27,4,4
Lc,1,43.1,1.41,20,3,4
Lc,2,46.6,1.59,24.5,5,4
Lc,3,43.1,1.42,24,5,4
Lc,4,48.8,1.24,9,2,4
Lc,5,38.9,1.21,24,7,4
Lc,6,37.2,1.4,28,5,4
Lt1,1,8.8,1.67,8.5,3,4
Lt1,2,3.3,,27,12,4
Lt1,3,3.1,,15,3,4
Lt1,4,4.3,,20,3,4
Lt1,5,7.4,,13,3,4
Lt1,6,6.2,,15,3,4
Lt2,1,40.4,10.71,21,3,4
Lt2,2,49.3,10.99,24,3,4
Lt2,3,46.1,12.45,19,5,4
Lt2,4,46.5,11.79,16.5,4,4
Lt2,5,34.1,18.63,21.5,3,4
Lt2,6,36.3,15.01,18.5,4,4
Lt3,1,27.1,33.14,27,9,4
Lt3,2,,,23,7,4
Lt3,3,,,26,10,4
Lt3,4,,,29,8,4
Lt3,5,,,14.5,4,4
Lt3,6,,,21.5,4,4
Tc,1,11.5,1.63,7,50,5
Tc,2,9.2,1.88,9,46,5
Tc,3,11.2,1.66,8,46,5
Tc,4,11.5,1.64,8,51,5
Tc,5,11.2,1.57,8,48,5
Tc,6,15.2,1.55,9,46,5
Tt1,1,NA,NA,4,42.5,5
Tt1,2,NA,NA,5,42.5,5
Tt1,3,NA,NA,4,39,5
Tt1,4,NA,NA,4,42.5,5
Tt1,5,NA,NA,4,40,5
Tt1,6,NA,NA,4,40,5
Tt2,1,46,8.25,4,32.5,5
Tt2,2,42,9.9,4,34,5
Tt2,3,36.6,4.26,4,28,5
Tt2,4,36.2,4.87,5,32.5,5
Tt2,5,37.4,5.74,5,29.9,5
Tt2,6,34.3,5.93,4,40,5
Tt3,1,NA,NA,4,30.5,5
Tt3,2,NA,NA,5,37,5
Tt3,3,NA,NA,5,35.5,5
Tt3,4,NA,NA,4,26,5
Tt3,5,NA,NA,4,38,5
Tt3,6,NA,,3,21.5,5
Lc,1,40.4,1.47,4,25,5
Lc,2,43.5,1.84,6,28.5,5
Lc,3,39.6,1.44,6,26,5
Lc,4,46.1,1.37,2,9,5
Lc,5,37.5,1.68,9,24.5,5
Lc,6,38.6,1.42,7,28.5,5
Lt1,1,NA,NA,2,10,5
Lt1,2,NA,NA,11,26,5
Lt1,3,NA,NA,2,14,5
Lt1,4,NA,NA,2,21.5,5
Lt1,5,NA,NA,2,13,5
Lt1,6,NA,NA,3,14,5
Lt2,1,NA,NA,4,21.5,5
Lt2,2,NA,NA,6,25,5
Lt2,3,NA,NA,5,20.5,5
Lt2,4,NA,NA,5,17,5
Lt2,5,NA,NA,5,22,5
Lt2,6,NA,NA,7,22,5
Lt3,1,NA,NA,6,27,5
Lt3,2,NA,NA,7,22,5
Lt3,3,NA,NA,11,27,5
Lt3,4,NA,NA,8,31,5
Lt3,5,NA,NA,5,15,5
Lt3,6,NA,NA,3,21.5,5